Year-Month,Debit Balances in Customers' Securities Margin Accounts,Note: in millions
2026-03,"1,220,922",
2026-02,"1,253,192",
2026-01,"1,279,042",
2025-12,"1,225,597",
2025-11,"1,214,321",
2025-10,"1,183,654",
2025-09,"1,126,494",
2025-08,"1,059,723",
2025-07,"1,022,548",
2025-06,"1,007,961",
2025-05,"920,960",
2025-04,"850,558",
2025-03,"880,316",
2025-02,"918,144",
2025-01,"937,253",
2024-12,"899,168",
2024-11,"890,852",
2024-10,"815,369",
2024-09,"813,211",
2024-08,"797,162",
2024-07,"810,835",
2024-06,"809,322",
2024-05,"809,431",
2024-04,"775,464",
2024-03,"784,136",
2024-02,"742,963",
2024-01,"701,975",
2023-12,"700,774",
2023-11,"660,887",
2023-10,"635,276",
2023-09,"680,846",
2023-08,"689,185",
2023-07,"709,834",
2023-06,"681,228",
2023-05,"644,170",
2023-04,"631,949",
2023-03,"645,429",
2023-02,"624,379",
2023-01,"641,228",
2022-12,"606,659",
2022-11,"643,783",
2022-10,"649,618",
2022-09,"664,009",
2022-08,"687,787",
2022-07,"696,781",
2022-06,"683,445",
2022-05,"752,944",
2022-04,"772,940",
2022-03,"799,660",
2022-02,"835,255",
2022-01,"829,637",
2021-12,"910,021",
2021-11,"918,598",
2021-10,"935,862",
2021-09,"903,117",
2021-08,"911,545",
2021-07,"844,324",
2021-06,"882,103",
2021-05,"861,626",
2021-04,"847,186",
2021-03,"822,551",
2021-02,"813,680",
2021-01,"798,605",
2020-12,"778,037",
2020-11,"722,118",
2020-10,"659,313",
2020-09,"654,324",
2020-08,"645,547",
2020-07,"613,830",
2020-06,"584,676",
2020-05,"552,543",
2020-04,"524,696",
2020-03,"479,291",
2020-02,"545,127",
2020-01,"561,812",
2019-12,"579,221",
2019-11,"563,482",
2019-10,"554,604",
2019-09,"555,910",
2019-08,"564,894",
2019-07,"602,139",
2019-06,"596,304",
2019-05,"568,751",
2019-04,"588,721",
2019-03,"574,013",
2019-02,"581,205",
2019-01,"568,433",
2018-12,"554,285",
2018-11,"592,593",
2018-10,"607,645",
2018-09,"648,126",
2018-08,"652,395",
2018-07,"652,790",
2018-06,"646,931",
2018-05,"668,940",
2018-04,"652,303",
2018-03,"645,235",
2018-02,"645,064",
2018-01,"665,716",
2017-12,"642,798",
2017-11,"627,422",
2017-10,"607,838",
2017-09,"606,334",
2017-08,"596,567",
2017-07,"594,414",
2017-06,"584,258",
2017-05,"582,764",
2017-04,"590,797",
2017-03,"577,674",
2017-02,"568,637",
2017-01,"553,557",
2016-12,"529,372",
2016-11,"539,972",
2016-10,"523,760",
2016-09,"540,615",
2016-08,"510,157",
2016-07,"513,221",
2016-06,"487,636",
2016-05,"489,867",
2016-04,"495,178",
2016-03,"483,909",
2016-02,"474,156",
2016-01,"487,200",
2015-12,"503,444",
2015-11,"515,410",
2015-10,"513,941",
2015-09,"497,279",
2015-08,"515,960",
2015-07,"530,744",
2015-06,"547,957",
2015-05,"541,671",
2015-04,"549,964",
2015-03,"518,055",
2015-02,"504,923",
2015-01,"485,872",
2014-12,"495,756",
2014-11,"496,341",
2014-10,"492,888",
2014-09,"503,901",
2014-08,"501,000",
