date,value
2001-05-01,109.5407
2001-06-01,107.6248
2001-07-01,105.7604
2001-08-01,99.2175
2001-09-01,90.2334
2001-10-01,91.8990
2001-11-01,98.7898
2001-12-01,100.4429
2002-01-01,97.9709
2002-02-01,95.8213
2002-03-01,99.9280
2002-04-01,94.0640
2002-05-01,92.8269
2002-06-01,86.1912
2002-07-01,78.4496
2002-08-01,78.7874
2002-09-01,70.7720
2002-10-01,75.5537
2002-11-01,79.9780
2002-12-01,75.4259
2003-01-01,72.7132
2003-02-01,71.3487
2003-03-01,72.0581
2003-04-01,76.9217
2003-05-01,81.4910
2003-06-01,82.5830
2003-07-01,82.6097
2003-08-01,84.4717
2003-09-01,83.4266
2003-10-01,86.8528
2003-11-01,87.9376
2003-12-01,91.7382
2004-01-01,92.5001
2004-02-01,93.7052
2004-03-01,92.5858
2004-04-01,89.1094
2004-05-01,90.2042
2004-06-01,92.0066
2004-07-01,87.0893
2004-08-01,87.2427
2004-09-01,88.5291
2004-10-01,88.2599
2004-11-01,92.2157
2004-12-01,95.4041
2005-01-01,91.0706
2005-02-01,92.8921
2005-03-01,91.1490
2005-04-01,87.9661
2005-05-01,91.1456
2005-06-01,91.7510
2005-07-01,93.8419
2005-08-01,92.8207
2005-09-01,93.4582
2005-10-01,90.3899
2005-11-01,93.7888
2005-12-01,93.7931
2006-01-01,95.0799
2006-02-01,94.8672
2006-03-01,96.4880
2006-04-01,96.3578
2006-05-01,93.0855
2006-06-01,93.1324
2006-07-01,92.1455
2006-08-01,94.0973
2006-09-01,96.0513
2006-10-01,98.2348
2006-11-01,100.2286
2006-12-01,101.2555
2007-01-01,101.8017
2007-02-01,99.9875
2007-03-01,100.9734
2007-04-01,103.5604
2007-05-01,107.1339
2007-06-01,105.2841
2007-07-01,100.4762
2007-08-01,101.6721
2007-09-01,105.1748
2007-10-01,105.9793
2007-11-01,101.0500
2007-12-01,100.2621
2008-01-01,94.1299
2008-02-01,91.1024
2008-03-01,90.3279
2008-04-01,93.7113
2008-05-01,95.4795
2008-06-01,87.5598
2008-07-01,86.4898
2008-08-01,87.6684
2008-09-01,79.3745
2008-10-01,66.6206
2008-11-01,61.1024
2008-12-01,61.9971
2009-01-01,57.5509
2009-02-01,51.3869
2009-03-01,55.7427
2009-04-01,61.7234
2009-05-01,64.8308
2009-06-01,64.9653
2009-07-01,69.6192
2009-08-01,71.9680
2009-09-01,74.8345
2009-10-01,71.8135
2009-11-01,75.6746
2009-12-01,77.7074
2010-01-01,74.4423
2010-02-01,76.8267
2010-03-01,81.4952
2010-04-01,81.9700
2010-05-01,75.3370
2010-06-01,71.0657
2010-07-01,75.1048
2010-08-01,71.4266
2010-09-01,78.0232
2010-10-01,80.1061
2010-11-01,80.4131
2010-12-01,85.7735
2011-01-01,87.3457
2011-02-01,90.3332
2011-03-01,90.6006
2011-04-01,91.9707
2011-05-01,90.7406
2011-06-01,88.9823
2011-07-01,86.3905
2011-08-01,81.0233
2011-09-01,74.6213
2011-10-01,82.0945
2011-11-01,81.6476
2011-12-01,82.1810
2012-01-01,85.0298
2012-02-01,88.4427
2012-03-01,91.0302
2012-04-01,89.5819
2012-05-01,83.8290
2012-06-01,87.0003
2012-07-01,87.1801
2012-08-01,89.1145
2012-09-01,91.2689
2012-10-01,89.0115
2012-11-01,89.4366
2012-12-01,90.3441
2013-01-01,93.9163
2013-02-01,94.9095
2013-03-01,98.4861
2013-04-01,99.5545
2013-05-01,101.7088
2013-06-01,100.2548
2013-07-01,104.1570
2013-08-01,100.9527
2013-09-01,104.5088
2013-10-01,107.3164
2013-11-01,110.2133
2013-12-01,112.9197
2014-01-01,109.2459
2014-02-01,114.1876
