date,value
1997-01-01,1.2357
1997-02-01,1.2423
1997-03-01,1.2536
1997-04-01,1.2072
1997-05-01,1.3041
1997-06-01,1.3951
1997-07-01,1.3978
1997-08-01,1.4361
1997-09-01,1.5233
1997-10-01,1.5343
1997-11-01,1.5143
1997-12-01,1.5008
1998-01-01,1.4990
1998-02-01,1.5940
1998-03-01,1.6527
1998-04-01,1.6343
1998-05-01,1.6756
1998-06-01,1.7209
1998-07-01,1.7649
1998-08-01,1.7090
1998-09-01,1.5847
1998-10-01,1.4891
1998-11-01,1.5999
1998-12-01,1.5997
1999-01-01,1.7247
1999-02-01,1.7309
1999-03-01,1.7660
1999-04-01,1.9350
1999-05-01,1.9940
1999-06-01,1.9703
1999-07-01,1.9563
1999-08-01,1.9369
1999-09-01,1.9588
1999-10-01,1.9622
1999-11-01,2.2051
1999-12-01,2.4441
2000-01-01,2.6035
2000-02-01,2.8414
2000-03-01,2.9987
2000-04-01,2.6222
2000-05-01,2.5065
2000-06-01,2.5808
2000-07-01,2.5560
2000-08-01,2.5699
2000-09-01,2.6188
2000-10-01,2.4049
2000-11-01,2.2798
2000-12-01,2.0160
2001-01-01,1.9931
2001-02-01,1.8995
2001-03-01,1.6695
2001-04-01,1.6614
2001-05-01,1.7270
2001-06-01,1.6944
2001-07-01,1.6388
2001-08-01,1.5976
2001-09-01,1.4902
2001-10-01,1.4293
2001-11-01,1.4956
2001-12-01,1.5053
2002-01-01,1.4922
2002-02-01,1.4367
2002-03-01,1.4846
2002-04-01,1.4611
2002-05-01,1.4494
2002-06-01,1.4142
2002-07-01,1.3101
2002-08-01,1.2668
2002-09-01,1.2391
2002-10-01,1.2534
2002-11-01,1.2609
2002-12-01,1.2607
2003-01-01,1.2653
2003-02-01,1.2575
2003-03-01,1.2911
2003-04-01,1.2662
2003-05-01,1.3589
2003-06-01,1.4875
2003-07-01,1.5080
2003-08-01,1.4455
2003-09-01,1.4801
2003-10-01,1.4902
2003-11-01,1.5510
2003-12-01,1.5414
2004-01-01,1.5887
2004-02-01,1.5973
2004-03-01,1.6057
2004-04-01,1.6411
2004-05-01,1.6003
2004-06-01,1.6016
2004-07-01,1.5265
2004-08-01,1.5264
2004-09-01,1.5739
2004-10-01,1.5806
2004-11-01,1.6844
2004-12-01,1.7368
2005-01-01,1.7241
2005-02-01,1.7479
2005-03-01,1.7770
2005-04-01,1.6827
2005-05-01,1.6978
2005-06-01,1.7346
2005-07-01,1.7773
2005-08-01,1.7607
2005-09-01,1.8616
2005-10-01,1.8002
2005-11-01,1.8230
2005-12-01,1.8320
